Node: 43, Time: +4s,10.1.1.37, 10.1.1.37,1,1
Node: 43, Time: +4s,10.1.1.39, 10.1.1.39,1,1
Node: 44, Time: +4s,10.1.1.42, 10.1.1.42,1,1
Node: 44, Time: +4s,10.1.1.43, 10.1.1.43,1,1
Node: 45, Time: +4s,10.1.1.6, 10.1.1.6,1,1
Node: 46, Time: +4s,10.1.1.17, 10.1.1.17,1,1
Node: 46, Time: +4s,10.1.1.26, 10.1.1.26,1,1
Node: 46, Time: +4s,10.1.1.31, 10.1.1.31,1,1
Node: 46, Time: +4s,10.1.1.39, 10.1.1.39,1,1
Node: 46, Time: +4s,10.1.1.49, 10.1.1.49,1,1
Node: 47, Time: +4s,10.1.1.27, 10.1.1.27,1,1
Node: 48, Time: +4s,10.1.1.1, 10.1.1.1,1,1
Node: 48, Time: +4s,10.1.1.25, 10.1.1.25,1,1
Node: 48, Time: +4s,10.1.1.26, 10.1.1.26,1,1
Node: 48, Time: +4s,10.1.1.29, 10.1.1.29,1,1
Node: 48, Time: +4s,10.1.1.31, 10.1.1.31,1,1
Node: 48, Time: +4s,10.1.1.33, 10.1.1.33,1,1
Node: 48, Time: +4s,10.1.1.47, 10.1.1.47,1,1
Node: 49, Time: +4s,10.1.1.18, 10.1.1.18,1,1
Node: 0, Time: +6s,10.1.1.15, 10.1.1.25,1,2
Node: 0, Time: +6s,10.1.1.17, 10.1.1.26,1,2
Node: 0, Time: +6s,10.1.1.25, 10.1.1.25,1,1
Node: 0, Time: +6s,10.1.1.26, 10.1.1.26,1,1
Node: 0, Time: +6s,10.1.1.29, 10.1.1.29,1,1
Node: 0, Time: +6s,10.1.1.31, 10.1.1.31,1,1
Node: 0, Time: +6s,10.1.1.33, 10.1.1.33,1,1
Node: 0, Time: +6s,10.1.1.34, 10.1.1.33,1,2
Node: 0, Time: +6s,10.1.1.47, 10.1.1.26,1,2
Node: 0, Time: +6s,10.1.1.49, 10.1.1.49,1,1
Node: 1, Time: +6s,10.1.1.3, 10.1.1.3,1,1
Node: 1, Time: +6s,10.1.1.10, 10.1.1.10,1,1
Node: 1, Time: +6s,10.1.1.12, 10.1.1.12,1,1
Node: 1, Time: +6s,10.1.1.17, 10.1.1.12,1,2
Node: 1, Time: +6s,10.1.1.20, 10.1.1.24,1,2
Node: 1, Time: +6s,10.1.1.24, 10.1.1.24,1,1
Node: 1, Time: +6s,10.1.1.30, 10.1.1.12,1,2
Node: 1, Time: +6s,10.1.1.32, 10.1.1.32,1,1
Node: 1, Time: +6s,10.1.1.34, 10.1.1.12,1,2
Node: 1, Time: +6s,10.1.1.37, 10.1.1.37,1,1
Node: 1, Time: +6s,10.1.1.38, 10.1.1.32,1,2
Node: 1, Time: +6s,10.1.1.39, 10.1.1.12,1,2
Node: 1, Time: +6s,10.1.1.44, 10.1.1.44,1,1
Node: 2, Time: +6s,10.1.1.2, 10.1.1.2,1,1
Node: 2, Time: +6s,10.1.1.10, 10.1.1.10,1,1
Node: 2, Time: +6s,10.1.1.12, 10.1.1.12,1,1
Node: 2, Time: +6s,10.1.1.16, 10.1.1.38,1,2
